Entity,Code,Year,Renewables per capita (kWh)
Bulgaria,BGR,2012,1.8708850000000001
Bulgaria,BGR,2013,2.4326570000000003
Bulgaria,BGR,2014,2.595063
Bulgaria,BGR,2015,3.080053
Bulgaria,BGR,2016,2.498836
Bulgaria,BGR,2017,2.158236
Bulgaria,BGR,2018,3.27759
Bulgaria,BGR,2019,2.728666
Canada,CAN,1965,16.711967
Canada,CAN,1966,18.216319
Canada,CAN,1967,18.303144
Canada,CAN,1968,18.299088
Canada,CAN,1969,19.901984000000002
Canada,CAN,1970,20.551595000000002
Canada,CAN,1971,20.774337
Canada,CAN,1972,22.859423
Canada,CAN,1973,24.122507000000002
Canada,CAN,1974,25.72701
Canada,CAN,1975,24.390352
Canada,CAN,1976,25.380738
Canada,CAN,1977,26.000228
Canada,CAN,1978,27.471688999999998
Canada,CAN,1979,28.221123
Canada,CAN,1980,28.719540000000002
Canada,CAN,1981,30.168776
Canada,CAN,1982,28.977785
Canada,CAN,1983,29.579588
Canada,CAN,1984,31.490604
Canada,CAN,1985,32.943101000000006
Canada,CAN,1986,33.289578
Canada,CAN,1987,33.472391
Canada,CAN,1988,32.115659
Canada,CAN,1989,30.040348
Canada,CAN,1990,30.221557
Canada,CAN,1991,31.002084
Canada,CAN,1992,31.464648
Canada,CAN,1993,31.82673
Canada,CAN,1994,32.112722000000005
Canada,CAN,1995,32.503992
Canada,CAN,1996,34.153029000000004
Canada,CAN,1997,33.334554
Canada,CAN,1998,31.451894
Canada,CAN,1999,32.460985
Canada,CAN,2000,33.233606
Canada,CAN,2001,30.523552
Canada,CAN,2002,31.637947
Canada,CAN,2003,29.959446
Canada,CAN,2004,29.708783
Canada,CAN,2005,31.167271000000003
Canada,CAN,2006,30.083849
Canada,CAN,2007,30.809373
Canada,CAN,2008,31.077451
Canada,CAN,2009,30.164842
Canada,CAN,2010,28.588883000000003
Canada,CAN,2011,30.207807000000003
Canada,CAN,2012,30.26587
Canada,CAN,2013,30.707651000000002
Canada,CAN,2014,29.656863
Canada,CAN,2015,30.212169000000003
Canada,CAN,2016,30.369308
Canada,CAN,2017,30.576563
Canada,CAN,2018,29.640321
Canada,CAN,2019,29.169151000000003
Chile,CHL,1965,1.221729
Chile,CHL,1966,1.2649169999999998
Chile,CHL,1967,1.269271
Chile,CHL,1968,1.045811
Chile,CHL,1969,1.161328
Chile,CHL,1970,1.2229269999999999
Chile,CHL,1971,1.361931
Chile,CHL,1972,1.590955
Chile,CHL,1973,1.5276980000000002
Chile,CHL,1974,1.707313
Chile,CHL,1975,1.688645
Chile,CHL,1976,1.7229100000000002
Chile,CHL,1977,1.7926
Chile,CHL,1978,1.839161
Chile,CHL,1979,1.861396
Chile,CHL,1980,1.9402380000000001
Chile,CHL,1981,1.9810450000000002
Chile,CHL,1982,2.1408110000000002
Chile,CHL,1983,2.2909450000000002
Chile,CHL,1984,2.3403449999999997
Chile,CHL,1985,2.5529650000000004
Chile,CHL,1986,2.702789
Chile,CHL,1987,2.876869
Chile,CHL,1988,2.7857800000000004
Chile,CHL,1989,2.3108820000000003
Chile,CHL,1990,2.072491
Chile,CHL,1991,2.916443
Chile,CHL,1992,3.742137
Chile,CHL,1993,3.778203
Chile,CHL,1994,3.680857
Chile,CHL,1995,3.919669
Chile,CHL,1996,3.5441529999999997
Chile,CHL,1997,3.8862150000000004
Chile,CHL,1998,3.170997
Chile,CHL,1999,2.752866
Chile,CHL,2000,3.703707
Chile,CHL,2001,4.156689
Chile,CHL,2002,4.366226
Chile,CHL,2003,4.17764
Chile,CHL,2004,3.888582
Chile,CHL,2005,4.5497510000000005
Chile,CHL,2006,4.8463080000000005
Chile,CHL,2007,4.024079
Chile,CHL,2008,4.406829
Chile,CHL,2009,4.45115
Chile,CHL,2010,3.8961900000000003
Chile,CHL,2011,3.783598
Chile,CHL,2012,3.930835
Chile,CHL,2013,3.9856350000000003
Chile,CHL,2014,4.290020999999999
Chile,CHL,2015,4.598371
Chile,CHL,2016,4.338646
Chile,CHL,2017,4.91291
Chile,CHL,2018,5.471402
Chile,CHL,2019,5.545801000000001
China,CHN,1965,0.08475400000000001
China,CHN,1966,0.08413200000000001
China,CHN,1967,0.070606
China,CHN,1968,0.081024
China,CHN,1969,0.08016200000000001
China,CHN,1970,0.080679
China,CHN,1971,0.095156
China,CHN,1972,0.10527
China,CHN,1973,0.11500700000000001
China,CHN,1974,0.127428
China,CHN,1975,0.13078800000000002
China,CHN,1976,0.130225
China,CHN,1977,0.133784
China,CHN,1978,0.123506
China,CHN,1979,0.136775
China,CHN,1980,0.16171100000000002
China,CHN,1981,0.179465
China,CHN,1982,0.201085
China,CHN,1983,0.230276
China,CHN,1984,0.22789500000000001
China,CHN,1985,0.238597
China,CHN,1986,0.239847
China,CHN,1987,0.248944
China,CHN,1988,0.266536
China,CHN,1989,0.283949
China,CHN,1990,0.299312
China,CHN,1991,0.290526
China,CHN,1992,0.30140100000000003
China,CHN,1993,0.346829
China,CHN,1994,0.380025
China,CHN,1995,0.434752
China,CHN,1996,0.420796
China,CHN,1997,0.43782299999999996
China,CHN,1998,0.440563
China,CHN,1999,0.432628
China,CHN,2000,0.485493
China,CHN,2001,0.596405
China,CHN,2002,0.611502
China,CHN,2003,0.5962609999999999
China,CHN,2004,0.735486
China,CHN,2005,0.823615
China,CHN,2006,0.9000130000000001
China,CHN,2007,0.998242
China,CHN,2008,1.309142
China,CHN,2009,1.293615
China,CHN,2010,1.511048
China,CHN,2011,1.507158
China,CHN,2012,1.877702
China,CHN,2013,2.031559
China,CHN,2014,2.371355
China,CHN,2015,2.52211
China,CHN,2016,2.726705
China,CHN,2017,2.951805
China,CHN,2018,3.216635
China,CHN,2019,3.476801
Colombia,COL,1965,0.5257310000000001
Colombia,COL,1966,0.567258
Colombia,COL,1967,0.614597
Colombia,COL,1968,0.666184
Colombia,COL,1969,0.7213010000000001
Colombia,COL,1970,0.782737
Colombia,COL,1971,0.81089
Colombia,COL,1972,0.877774
Colombia,COL,1973,0.934172
Colombia,COL,1974,1.0375750000000001
Colombia,COL,1975,1.1451500000000001
Colombia,COL,1976,1.177172
Colombia,COL,1977,1.174892
Colombia,COL,1978,1.3252519999999999
Colombia,COL,1979,1.4225450000000002
Colombia,COL,1980,1.51523
Colombia,COL,1981,1.462518
Colombia,COL,1982,1.529107
Colombia,COL,1983,1.5091160000000001
Colombia,COL,1984,1.647407
Colombia,COL,1985,1.735036
Colombia,COL,1986,1.9624860000000002
Colombia,COL,1987,2.093959
